"Location_Type","Count"
"Apartment Building (Condo, Retirement Buidling, etc.)",192
"Business/Retail",56
"Educational Institution (Universities, Colleges, Schools, etc.)",265
"Government Building",4
"Government Building (Courthouse, Museums, Parliament Building, etc.)",56
"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",91
"Medical Facility (Hospitals, Long-term Care, etc.)",18
"Non-Commercial/Non for Profit",11
"Open Area, Park or Parking Lot",168
"Other Commercial / Corporate Places",164
"Public Transportation",235
"Religious Place of Worship/Cultural Centre",89
"Streets/Roadways/Highway",403
